customer_id,tenure,contract,monthly_charges,total_charges,internet_service,tech_support,online_security,payment_method,paperless_billing,senior_citizen,partner,dependents,num_support_calls,churn
CUST-10000,6,Two year,33.89,232.72,Fiber optic,Yes,Yes,Electronic check,No,0,Yes,Yes,0,0
CUST-10001,56,Month-to-month,79.48,4265.04,DSL,No,Yes,Bank transfer,No,0,Yes,Yes,2,0
CUST-10002,47,Two year,46.77,2166.76,No,Yes,No,Bank transfer,Yes,0,No,No,2,0
CUST-10003,32,One year,18.0,589.42,DSL,No,No,Mailed check,No,0,Yes,Yes,2,0
CUST-10004,31,Month-to-month,56.38,1730.57,DSL,No,No,Mailed check,No,1,No,No,1,1
CUST-10005,62,Two year,104.74,6345.78,No,Yes,Yes,Credit card,Yes,0,Yes,Yes,2,0
CUST-10006,6,Month-to-month,78.82,498.55,Fiber optic,Yes,No,Electronic check,Yes,0,Yes,Yes,1,1
CUST-10007,50,Month-to-month,120.0,5586.84,No,No,Yes,Credit card,Yes,1,Yes,No,2,0
CUST-10008,14,Month-to-month,70.32,1006.33,No,No,Yes,Bank transfer,Yes,0,Yes,Yes,0,1
CUST-10009,6,One year,120.0,787.13,Fiber optic,No,Yes,Electronic check,No,0,No,No,4,0
CUST-10010,38,Month-to-month,70.33,2635.66,DSL,Yes,No,Mailed check,Yes,0,No,No,1,1
CUST-10011,71,Month-to-month,65.67,4437.1,DSL,No,Yes,Credit card,Yes,0,Yes,Yes,4,1
CUST-10012,53,Month-to-month,26.62,1318.88,No,Yes,No,Bank transfer,Yes,0,Yes,Yes,0,0
CUST-10013,55,Month-to-month,98.32,5394.02,No,Yes,No,Electronic check,No,0,Yes,No,2,0
CUST-10014,52,Month-to-month,49.94,2605.83,Fiber optic,No,No,Electronic check,Yes,0,No,Yes,2,0
CUST-10015,57,Month-to-month,45.59,2635.77,Fiber optic,No,No,Credit card,Yes,0,No,Yes,3,1
CUST-10016,37,Month-to-month,103.44,3616.55,DSL,No,No,Electronic check,Yes,0,Yes,No,0,1
CUST-10017,9,Month-to-month,99.75,928.82,DSL,No,No,Bank transfer,No,0,No,Yes,1,1
CUST-10018,61,One year,98.96,5694.25,No,Yes,Yes,Credit card,Yes,0,Yes,No,1,1
CUST-10019,32,Month-to-month,54.13,1773.81,DSL,No,Yes,Electronic check,Yes,0,No,No,0,1
CUST-10020,36,One year,63.47,2253.85,Fiber optic,Yes,Yes,Electronic check,No,0,Yes,Yes,3,1
CUST-10021,27,Month-to-month,63.2,1755.87,No,No,Yes,Credit card,Yes,0,No,Yes,2,0
CUST-10022,13,Month-to-month,88.48,1225.14,Fiber optic,Yes,Yes,Credit card,No,0,Yes,Yes,3,0
CUST-10023,67,Month-to-month,111.61,7016.69,Fiber optic,No,Yes,Bank transfer,Yes,0,Yes,Yes,1,0
CUST-10024,57,Month-to-month,76.04,4157.97,DSL,Yes,No,Electronic check,No,0,No,No,2,0
CUST-10025,47,Month-to-month,120.0,5422.25,DSL,No,No,Electronic check,Yes,0,No,No,3,0
CUST-10026,29,Two year,91.92,2616.11,DSL,Yes,Yes,Credit card,Yes,0,Yes,Yes,2,0
CUST-10027,60,Month-to-month,57.96,3534.75,DSL,No,No,Credit card,Yes,0,No,No,0,1
CUST-10028,39,Month-to-month,89.86,3297.42,DSL,No,Yes,Credit card,No,0,No,Yes,0,1
CUST-10029,32,One year,116.18,3746.69,DSL,No,No,Credit card,No,0,Yes,No,1,1
CUST-10030,32,Month-to-month,120.0,3654.14,DSL,No,No,Mailed check,Yes,0,No,No,3,1
CUST-10031,16,Month-to-month,100.61,1665.8,DSL,Yes,Yes,Mailed check,Yes,0,Yes,No,1,1
